name,category,price,rating,review_count,name_length,page_text_length,high_interest,product_url
Billy Bookcase With Height Extension Unit Brown Walnut Effect S39581880,bookcases,124.0,4.6,291,10,970,1,https://www.ikea.com/us/en/p/billy-bookcase-with-height-extension-unit-brown-walnut-effect-s39581880/
Billy Bookcase With Height Extension Unit Dark Brown Oak Effect S29581885,bookcases,124.0,4.6,291,11,974,1,https://www.ikea.com/us/en/p/billy-bookcase-with-height-extension-unit-dark-brown-oak-effect-s29581885/
Billy Bookcase With Height Extension Unit Oak Effect S89581887,bookcases,124.0,4.6,291,9,965,1,https://www.ikea.com/us/en/p/billy-bookcase-with-height-extension-unit-oak-effect-s89581887/
Billy Oxberg Bookcase With Doors White S39581494,bookcases,139.0,4.6,353,7,1339,1,https://www.ikea.com/us/en/p/billy-oxberg-bookcase-with-doors-white-s39581494/
Billy Oxberg Bookcase With Doors Brown Walnut Effect S49483365,bookcases,159.0,4.6,353,9,1785,1,https://www.ikea.com/us/en/p/billy-oxberg-bookcase-with-doors-brown-walnut-effect-s49483365/
Billy Oxberg Bookcase With Doors Black Oak Effect S79483364,bookcases,159.0,4.6,353,9,1785,1,https://www.ikea.com/us/en/p/billy-oxberg-bookcase-with-doors-black-oak-effect-s79483364/
Billy Oxberg Bookcase With Doors Oak Effect S09483367,bookcases,159.0,4.6,353,8,1782,1,https://www.ikea.com/us/en/p/billy-oxberg-bookcase-with-doors-oak-effect-s09483367/
Billy Oxberg Bookcase With Doors Dark Brown Oak Effect S29483366,bookcases,159.0,4.6,353,10,1781,1,https://www.ikea.com/us/en/p/billy-oxberg-bookcase-with-doors-dark-brown-oak-effect-s29483366/
Billy Bookcase With Glass Doors Dark Blue,bookcases,199.0,4.7,343,7,2134,1,https://www.ikea.com/us/en/p/billy-bookcase-with-glass-doors-dark-blue-20323805/
Billy Bookcase Combination Oak Effect S59581822,bookcases,177.0,4.5,161,6,1727,0,https://www.ikea.com/us/en/p/billy-bookcase-combination-oak-effect-s59581822/
Billy Bookcase Combination White S19581517,bookcases,147.0,4.5,161,5,1777,0,https://www.ikea.com/us/en/p/billy-bookcase-combination-white-s19581517/
Billy Bookcase Combination Dark Brown Oak Effect S79581821,bookcases,177.0,4.5,161,8,1759,0,https://www.ikea.com/us/en/p/billy-bookcase-combination-dark-brown-oak-effect-s79581821/
Billy Bookcase Combination Brown Walnut Effect S99581820,bookcases,177.0,4.5,161,7,1731,0,https://www.ikea.com/us/en/p/billy-bookcase-combination-brown-walnut-effect-s99581820/
Hemnes Bookcase Black Brown Light Brown,bookcases,229.0,4.1,1304,6,2417,1,https://www.ikea.com/us/en/p/hemnes-bookcase-black-brown-light-brown-20452294/
Hemnes Bookcase White Stain,bookcases,189.0,4.1,1304,4,2416,1,https://www.ikea.com/us/en/p/hemnes-bookcase-white-stain-90371765/
Hemnes Bookcase White Stain Light Brown,bookcases,229.0,4.1,1304,6,2442,1,https://www.ikea.com/us/en/p/hemnes-bookcase-white-stain-light-brown-60413502/
Hemnes Bookcase Black Brown,bookcases,229.0,4.1,1304,4,2406,1,https://www.ikea.com/us/en/p/hemnes-bookcase-black-brown-20371764/
Hemnes Bookcase Gray Green Light Brown Stained,bookcases,329.0,4.1,1304,7,2318,1,https://www.ikea.com/us/en/p/hemnes-bookcase-gray-green-light-brown-stained-40596159/
Gersby Bookcase White,bookcases,59.0,4.6,1585,3,1878,1,https://www.ikea.com/us/en/p/gersby-bookcase-white-70261131/
Billy Bookcase With Height Extension Unit Brown Walnut Effect S09581891,bookcases,89.0,4.7,262,10,1192,1,https://www.ikea.com/us/en/p/billy-bookcase-with-height-extension-unit-brown-walnut-effect-s09581891/
Billy Bookcase White S89581509,bookcases,74.0,4.7,262,4,1184,1,https://www.ikea.com/us/en/p/billy-bookcase-white-s89581509/
Billy Bookcase With Height Extension Unit Dark Brown Oak Effect S99581882,bookcases,89.0,4.7,262,11,1208,1,https://www.ikea.com/us/en/p/billy-bookcase-with-height-extension-unit-dark-brown-oak-effect-s99581882/
Billy Bookcase With Height Extension Unit Oak Effect S59581884,bookcases,89.0,4.7,262,9,1187,1,https://www.ikea.com/us/en/p/billy-bookcase-with-height-extension-unit-oak-effect-s59581884/
Baggebo Bookcase White,bookcases,24.99,4.6,95,3,1283,0,https://www.ikea.com/us/en/p/baggebo-bookcase-white-70481171/
Billy Bookcase White,bookcases,39.0,4.7,904,3,1502,1,https://www.ikea.com/us/en/p/billy-bookcase-white-10522037/
Billy Bookcase Birch Effect,bookcases,49.0,4.7,904,4,1993,1,https://www.ikea.com/us/en/p/billy-bookcase-birch-effect-20495830/
Billy Bookcase Brown Walnut Effect,bookcases,49.0,4.7,904,5,1994,1,https://www.ikea.com/us/en/p/billy-bookcase-brown-walnut-effect-10508625/
Billy Bookcase Black Oak Effect,bookcases,49.0,4.7,904,5,1994,1,https://www.ikea.com/us/en/p/billy-bookcase-black-oak-effect-30477331/
Billy Bookcase Oak Effect,bookcases,49.0,4.7,904,4,1989,1,https://www.ikea.com/us/en/p/billy-bookcase-oak-effect-20477379/
Billy Bookcase Dark Brown Oak Effect,bookcases,49.0,4.7,904,6,1993,1,https://www.ikea.com/us/en/p/billy-bookcase-dark-brown-oak-effect-00492757/
Laiva Bookcase Black Brown,bookcases,39.99,4.5,1423,4,1741,1,https://www.ikea.com/us/en/p/laiva-bookcase-black-brown-40178591/
Billy Bookcase White S59581515,bookcases,292.0,4.6,139,4,1277,0,https://www.ikea.com/us/en/p/billy-bookcase-white-s59581515/
Billy Bookcase Comb W Extension Units Brown Walnut Effect S29483535,bookcases,337.0,4.6,140,10,1636,0,https://www.ikea.com/us/en/p/billy-bookcase-comb-w-extension-units-brown-walnut-effect-s29483535/
Billy Bookcase Comb W Extension Units Black Oak Effect S59483534,bookcases,337.0,4.6,139,10,1636,0,https://www.ikea.com/us/en/p/billy-bookcase-comb-w-extension-units-black-oak-effect-s59483534/
Billy Bookcase Comb W Extension Units Dark Brown Oak Effect S09483536,bookcases,337.0,4.6,140,11,1625,0,https://www.ikea.com/us/en/p/billy-bookcase-comb-w-extension-units-dark-brown-oak-effect-s09483536/
Billy Bookcase Comb W Extension Units Oak Effect S89483537,bookcases,337.0,4.6,139,9,1631,0,https://www.ikea.com/us/en/p/billy-bookcase-comb-w-extension-units-oak-effect-s89483537/
Mittplan Desk With Add On Unit White,tables_desks,249.99,0.0,0,7,733,0,https://www.ikea.com/us/en/p/mittplan-desk-with-add-on-unit-white-30630776/
Centerhalv Office Chair Black,tables_desks,199.99,5.0,2,4,1017,0,https://www.ikea.com/us/en/p/centerhalv-office-chair-black-10601124/
Bollsidan Desk Sit Stand Electric White,tables_desks,299.99,3.5,19,6,1482,0,https://www.ikea.com/us/en/p/bollsidan-desk-sit-stand-electric-white-90609814/
Markus Office Chair Vissle Dark Gray,tables_desks,329.99,4.5,50,6,1536,0,https://www.ikea.com/us/en/p/markus-office-chair-vissle-dark-gray-50588804/
Trotten Desk Sit Stand Beige White S89434127,tables_desks,249.99,4.6,505,7,2608,1,https://www.ikea.com/us/en/p/trotten-desk-sit-stand-beige-white-s89434127/
Langfjaell Conference Chair With Armrests Gunnared Beige White S89252768,tables_desks,279.99,4.3,166,9,1798,0,https://www.ikea.com/us/en/p/langfjaell-conference-chair-with-armrests-gunnared-beige-white-s89252768/
Micke Desk Black Brown,tables_desks,99.99,4.5,2186,4,1940,1,https://www.ikea.com/us/en/p/micke-desk-black-brown-60244745/
Renberget Swivel Chair Bomstad Black,tables_desks,89.99,4.4,1142,5,1208,1,https://www.ikea.com/us/en/p/renberget-swivel-chair-bomstad-black-40611094/
Langfjaell Conference Chair Gunnared Dark Gray White S79252387,tables_desks,249.99,4.4,518,8,2123,1,https://www.ikea.com/us/en/p/langfjaell-conference-chair-gunnared-dark-gray-white-s79252387/
Groenfjaell Office Chair With Armrests Letafors Gray Black,tables_desks,449.99,3.4,53,8,1302,0,https://www.ikea.com/us/en/p/groenfjaell-office-chair-with-armrests-letafors-gray-black-00503478/
Laektare Conference Chair Medium Gray Black S89503267,tables_desks,119.99,4.6,8,7,1535,0,https://www.ikea.com/us/en/p/laektare-conference-chair-medium-gray-black-s89503267/
Groenfjaell Office Chair With Arm Headrest Letafors Gray Black S69513917,tables_desks,529.99,3.8,53,10,1582,0,https://www.ikea.com/us/en/p/groenfjaell-office-chair-with-arm-headrest-letafors-gray-black-s69513917/
Glostad Sofa Knisa Dark Gray,sofas,199.0,3.9,62,5,1984,0,https://www.ikea.com/us/en/p/glostad-sofa-knisa-dark-gray-40595942/
Glostad Sofa With Chaise Knisa Dark Gray S69578602,sofas,249.0,3.5,32,8,1157,0,https://www.ikea.com/us/en/p/glostad-sofa-with-chaise-knisa-dark-gray-s69578602/
Stockholm 2025 Sofa Sundhamn Beige,sofas,1799.0,4.4,83,5,1948,0,https://www.ikea.com/us/en/p/stockholm-2025-sofa-sundhamn-beige-00586096/
Uppland Sofa Hakebo Dark Gray S59442478,sofas,849.0,3.7,186,6,2386,1,https://www.ikea.com/us/en/p/uppland-sofa-hakebo-dark-gray-s59442478/
Uppland Sofa Blekinge White S19384116,sofas,899.0,3.7,186,5,2516,1,https://www.ikea.com/us/en/p/uppland-sofa-blekinge-white-s19384116/
Uppland Sofa Kilanda Light Beige S39442484,sofas,899.0,3.7,186,6,2400,1,https://www.ikea.com/us/en/p/uppland-sofa-kilanda-light-beige-s39442484/
Uppland Sofa Kelinge Beige S79499968,sofas,949.0,3.7,186,5,2384,1,https://www.ikea.com/us/en/p/uppland-sofa-kelinge-beige-s79499968/
Uppland Sofa Hakebo Gray Green S19442480,sofas,849.0,3.7,186,6,2383,1,https://www.ikea.com/us/en/p/uppland-sofa-hakebo-gray-green-s19442480/
Uppland Sofa Kilanda Dark Blue S79442482,sofas,899.0,3.7,186,6,2400,1,https://www.ikea.com/us/en/p/uppland-sofa-kilanda-dark-blue-s79442482/
Uppland Sofa Kelinge Rust S39499970,sofas,949.0,3.7,186,5,2384,1,https://www.ikea.com/us/en/p/uppland-sofa-kelinge-rust-s39499970/
Klippan Loveseat Tingetorp Yellow White Floral Pattern S69589993,sofas,329.0,4.0,268,8,1917,1,https://www.ikea.com/us/en/p/klippan-loveseat-tingetorp-yellow-white-floral-pattern-s69589993/
Klippan Loveseat Vissle Gray S09010617,sofas,299.0,4.0,268,5,2018,1,https://www.ikea.com/us/en/p/klippan-loveseat-vissle-gray-s09010617/
Klippan Loveseat Vissle Green S09561666,sofas,299.0,4.0,268,5,2036,1,https://www.ikea.com/us/en/p/klippan-loveseat-vissle-green-s09561666/
Klippan Loveseat Langban Bright Yellow S39564277,sofas,349.0,4.0,268,6,2202,1,https://www.ikea.com/us/en/p/klippan-loveseat-langban-bright-yellow-s39564277/
Kivik Sectional 4 Seat With Chaise Tibbleby Beige Gray S89440581,sofas,1249.0,3.9,148,10,2976,0,https://www.ikea.com/us/en/p/kivik-sectional-4-seat-with-chaise-tibbleby-beige-gray-s89440581/
Kivik Sectional 4 Seat With Chaise Tresund Anthracite S69494382,sofas,1399.0,3.9,148,9,2971,0,https://www.ikea.com/us/en/p/kivik-sectional-4-seat-with-chaise-tresund-anthracite-s69494382/
Kivik Sectional 4 Seat With Chaise Tresund Light Beige S79494391,sofas,1399.0,3.9,148,10,2981,0,https://www.ikea.com/us/en/p/kivik-sectional-4-seat-with-chaise-tresund-light-beige-s79494391/
Kivik Sectional 4 Seat With Chaise Kelinge Gray Turquoise S49443063,sofas,1299.0,3.9,148,10,2981,0,https://www.ikea.com/us/en/p/kivik-sectional-4-seat-with-chaise-kelinge-gray-turquoise-s49443063/
Kivik Sectional 4 Seat With Chaise Gunnared Beige S59499714,sofas,1399.0,3.9,148,9,3023,0,https://www.ikea.com/us/en/p/kivik-sectional-4-seat-with-chaise-gunnared-beige-s59499714/
Kivik Sectional 4 Seat With Chaise Gunnared Blue S29499715,sofas,1399.0,3.9,148,9,3016,0,https://www.ikea.com/us/en/p/kivik-sectional-4-seat-with-chaise-gunnared-blue-s29499715/
Kivik Sectional 4 Seat With Chaise Tallmyra Dark Green S09499721,sofas,1499.0,3.9,148,10,3014,0,https://www.ikea.com/us/en/p/kivik-sectional-4-seat-with-chaise-tallmyra-dark-green-s09499721/
Finnala Sofa Gunnared Beige S19319060,sofas,1019.0,3.8,41,5,2757,0,https://www.ikea.com/us/en/p/finnala-sofa-gunnared-beige-s19319060/
Finnala Sofa Tallmyra Black Gray S49319068,sofas,999.0,3.8,41,6,2853,0,https://www.ikea.com/us/en/p/finnala-sofa-tallmyra-black-gray-s49319068/
Finnala Sofa Gunnared Medium Gray S79319062,sofas,1019.0,3.8,41,6,2766,0,https://www.ikea.com/us/en/p/finnala-sofa-gunnared-medium-gray-s79319062/
Kivik Sofa Tresund Light Beige S19482838,sofas,899.0,4.1,507,6,3031,1,https://www.ikea.com/us/en/p/kivik-sofa-tresund-light-beige-s19482838/
Kivik Sofa Tibbleby Beige Gray S39440593,sofas,799.0,4.1,507,6,3002,1,https://www.ikea.com/us/en/p/kivik-sofa-tibbleby-beige-gray-s39440593/
Kivik Sofa Kelinge Gray Turquoise S59443053,sofas,849.0,4.1,507,6,3001,1,https://www.ikea.com/us/en/p/kivik-sofa-kelinge-gray-turquoise-s59443053/
Kivik Sofa Gunnared Beige S89499703,sofas,899.0,4.1,507,5,3049,1,https://www.ikea.com/us/en/p/kivik-sofa-gunnared-beige-s89499703/
Kivik Sofa Tresund Anthracite S39482837,sofas,899.0,4.1,507,5,3003,1,https://www.ikea.com/us/en/p/kivik-sofa-tresund-anthracite-s39482837/
Kivik Sofa Tallmyra Dark Green S39499710,sofas,949.0,4.1,507,6,3043,1,https://www.ikea.com/us/en/p/kivik-sofa-tallmyra-dark-green-s39499710/
Kivik Sofa Gunnared Blue S69499704,sofas,899.0,4.1,507,5,3049,1,https://www.ikea.com/us/en/p/kivik-sofa-gunnared-blue-s69499704/
Hyltarp Sofa Gransel Natural S69489639,sofas,1199.0,4.2,132,5,3148,0,https://www.ikea.com/us/en/p/hyltarp-sofa-gransel-natural-s69489639/
Hyltarp Sofa Hallarp White S39489645,sofas,1149.0,4.2,132,5,3124,0,https://www.ikea.com/us/en/p/hyltarp-sofa-hallarp-white-s39489645/
Hyltarp Sofa Hemmesta Light Beige S59514941,sofas,1249.0,4.2,132,6,3131,0,https://www.ikea.com/us/en/p/hyltarp-sofa-hemmesta-light-beige-s59514941/
Hyltarp Sofa Tallmyra Dark Green S29514952,sofas,1249.0,4.2,132,6,3131,0,https://www.ikea.com/us/en/p/hyltarp-sofa-tallmyra-dark-green-s29514952/
Hyltarp Sofa Tallmyra Blue S49514946,sofas,1249.0,4.2,132,5,3128,0,https://www.ikea.com/us/en/p/hyltarp-sofa-tallmyra-blue-s49514946/
Hyltarp Sofa Kilanda Pale Blue S19489651,sofas,1149.0,4.2,132,6,3135,0,https://www.ikea.com/us/en/p/hyltarp-sofa-kilanda-pale-blue-s19489651/
Hyltarp Sofa Gransel Gray S89514930,sofas,1199.0,4.2,132,5,3149,0,https://www.ikea.com/us/en/p/hyltarp-sofa-gransel-gray-s89514930/
Kivik Sofa Grann Bomstad Black,sofas,1299.0,4.3,61,5,2159,0,https://www.ikea.com/us/en/p/kivik-sofa-grann-bomstad-black-80519531/
Saltsjoebaden 3 Seat Sofa Tonerud Gray S89579196,sofas,549.0,4.6,22,7,1925,0,https://www.ikea.com/us/en/p/saltsjoebaden-3-seat-sofa-tonerud-gray-s89579196/
Saltsjoebaden 3 Seat Sofa Tonerud Gray S29627529,sofas,549.0,4.6,22,7,2030,0,https://www.ikea.com/us/en/p/saltsjoebaden-3-seat-sofa-tonerud-gray-s29627529/
Saltsjoebaden 3 Seat Sofa Blekinge White S79579192,sofas,499.0,4.6,22,7,1938,0,https://www.ikea.com/us/en/p/saltsjoebaden-3-seat-sofa-blekinge-white-s79579192/
Saltsjoebaden 3 Seat Sofa Fridtuna Light Beige S59599935,sofas,599.0,4.6,22,8,1962,0,https://www.ikea.com/us/en/p/saltsjoebaden-3-seat-sofa-fridtuna-light-beige-s59599935/
Saltsjoebaden 3 Seat Sofa Tonerud Gray S19622565,sofas,549.0,4.7,23,7,1934,0,https://www.ikea.com/us/en/p/saltsjoebaden-3-seat-sofa-tonerud-gray-s19622565/
Saltsjoebaden 3 Seat Sofa Tonerud Red Brown S49627533,sofas,549.0,4.7,23,8,1960,0,https://www.ikea.com/us/en/p/saltsjoebaden-3-seat-sofa-tonerud-red-brown-s49627533/
Saltsjoebaden 3 Seat Sofa Fridtuna Light Beige S49627509,sofas,599.0,4.7,23,8,2012,0,https://www.ikea.com/us/en/p/saltsjoebaden-3-seat-sofa-fridtuna-light-beige-s49627509/
Glostad Loveseat Knisa Dark Gray,sofas,169.0,4.5,609,5,2515,1,https://www.ikea.com/us/en/p/glostad-loveseat-knisa-dark-gray-70489011/
Morabo Sofa Gunnared Dark Gray Wood S89318321,sofas,799.0,4.1,168,7,2560,0,https://www.ikea.com/us/en/p/morabo-sofa-gunnared-dark-gray-wood-s89318321/
Morabo Sofa Gunnared Light Green Wood S09318339,sofas,799.0,4.1,168,7,2558,0,https://www.ikea.com/us/en/p/morabo-sofa-gunnared-light-green-wood-s09318339/
Morabo Sofa Gunnared Dark Gray Metal S09318320,sofas,799.0,4.1,168,7,2560,0,https://www.ikea.com/us/en/p/morabo-sofa-gunnared-dark-gray-metal-s09318320/
Morabo Sofa Djuparp Dark Blue Wood S19416508,sofas,699.0,4.1,168,7,2809,0,https://www.ikea.com/us/en/p/morabo-sofa-djuparp-dark-blue-wood-s19416508/
Morabo Sofa Gunnared Light Green Metal S29318338,sofas,799.0,4.1,168,7,2557,0,https://www.ikea.com/us/en/p/morabo-sofa-gunnared-light-green-metal-s29318338/
Morabo Sofa Djuparp Dark Blue Metal S39416507,sofas,699.0,4.1,168,7,2808,0,https://www.ikea.com/us/en/p/morabo-sofa-djuparp-dark-blue-metal-s39416507/
Linanaes Sofa With Chaise Vissle Dark Gray,sofas,499.0,3.1,110,7,2320,0,https://www.ikea.com/us/en/p/linanaes-sofa-with-chaise-vissle-dark-gray-70512243/
Linanaes Sofa With Chaise Vissle Beige,sofas,499.0,3.0,116,6,2318,0,https://www.ikea.com/us/en/p/linanaes-sofa-with-chaise-vissle-beige-60512234/
Friheten Klagshamn Sleeper Sectional 3 Seat W Storage Faringe Light Gray S49520240,sofas,1099.0,4.4,272,12,1873,1,https://www.ikea.com/us/en/p/friheten-klagshamn-sleeper-sectional-3-seat-w-storage-faringe-light-gray-s49520240/
Friheten Klagshamn Sleeper Sectional 3 Seat W Storage Skiftebo Dark Gray S29580739,sofas,1099.0,4.4,272,12,1906,1,https://www.ikea.com/us/en/p/friheten-klagshamn-sleeper-sectional-3-seat-w-storage-skiftebo-dark-gray-s29580739/
Friheten Klagshamn Sleeper Sectional 3 Seat W Storage Faringe Brown Orange S19520246,sofas,1099.0,4.4,272,12,1880,1,https://www.ikea.com/us/en/p/friheten-klagshamn-sleeper-sectional-3-seat-w-storage-faringe-brown-orange-s19520246/
Klippan Loveseat Bomstad Black,sofas,449.0,4.2,174,4,1886,1,https://www.ikea.com/us/en/p/klippan-loveseat-bomstad-black-50399318/
Saltmyran Sofa Oereryd Gray Beige,sofas,399.0,4.5,11,5,1105,0,https://www.ikea.com/us/en/p/saltmyran-sofa-oereryd-gray-beige-50618518/
Saltmyran Sofa Oereryd Blue,sofas,399.0,4.5,11,4,1110,0,https://www.ikea.com/us/en/p/saltmyran-sofa-oereryd-blue-70618522/
Saltsjoebaden Sofa With Chaise Tonerud Gray S19579208,sofas,749.0,4.5,10,7,1455,0,https://www.ikea.com/us/en/p/saltsjoebaden-sofa-with-chaise-tonerud-gray-s19579208/
Slattum Upholstered Bed Frame Vissle Dark Gray,beds,149.0,4.2,469,7,2100,1,https://www.ikea.com/us/en/p/slattum-upholstered-bed-frame-vissle-dark-gray-70571256/
Malm High Bed Frame 2 Storage Boxes Dark Brown Veneer Luroey S79574378,beds,399.0,4.1,941,12,2588,1,https://www.ikea.com/us/en/p/malm-high-bed-frame-2-storage-boxes-dark-brown-veneer-luroey-s79574378/
Ramnefjaell Upholstered Bed Frame Kilanda Light Beige Luroey S29560208,beds,299.0,4.3,198,9,2784,1,https://www.ikea.com/us/en/p/ramnefjaell-upholstered-bed-frame-kilanda-light-beige-luroey-s29560208/
Neiden Bed Frame Pine Luroey S79248606,beds,99.0,3.9,791,6,2283,1,https://www.ikea.com/us/en/p/neiden-bed-frame-pine-luroey-s79248606/
Tarva Bed Frame Pine Luroey S29007794,beds,179.0,4.0,760,6,2525,1,https://www.ikea.com/us/en/p/tarva-bed-frame-pine-luroey-s29007794/
Songesand Bed Frame Brown Luroey S59241069,beds,299.0,4.1,817,6,2561,1,https://www.ikea.com/us/en/p/songesand-bed-frame-brown-luroey-s59241069/
Stjaernoe Bed Frame Anthracite,beds,199.0,4.6,103,4,1874,0,https://www.ikea.com/us/en/p/stjaernoe-bed-frame-anthracite-40570183/
Brimnes Bed Frame With Storage Headboard Black Luroey S49129600,beds,499.0,4.2,1164,9,2747,1,https://www.ikea.com/us/en/p/brimnes-bed-frame-with-storage-headboard-black-luroey-s49129600/
Malm Bed Frame Dark Brown Veneer Luroey S49574365,beds,299.0,4.0,1415,8,2125,1,https://www.ikea.com/us/en/p/malm-bed-frame-dark-brown-veneer-luroey-s49574365/
Vihals Bed Frame White,beds,129.0,3.4,104,4,1372,0,https://www.ikea.com/us/en/p/vihals-bed-frame-white-20602458/
Radmansoe Bed Frame Brown Walnut Effect Luroey S29598635,beds,259.0,3.8,15,8,1649,0,https://www.ikea.com/us/en/p/radmansoe-bed-frame-brown-walnut-effect-luroey-s29598635/
Vihals Bed Frame With 2 Storage Boxes White Luroey S09581985,beds,209.0,3.1,26,10,1160,0,https://www.ikea.com/us/en/p/vihals-bed-frame-with-2-storage-boxes-white-luroey-s09581985/
Mandal Bed Frame With Storage Birch White,beds,549.0,4.4,199,7,1802,1,https://www.ikea.com/us/en/p/mandal-bed-frame-with-storage-birch-white-30280481/
Gladstad Upholstered Bed Frame Kabusa Light Gray,beds,249.0,3.8,135,7,1800,0,https://www.ikea.com/us/en/p/gladstad-upholstered-bed-frame-kabusa-light-gray-00490466/
Vevelstad Bed Frame White,beds,149.0,4.4,261,4,1720,1,https://www.ikea.com/us/en/p/vevelstad-bed-frame-white-50506436/
Songesand Bed Frame With 2 Storage Boxes White Luroey S99241265,beds,299.0,4.1,528,10,2057,1,https://www.ikea.com/us/en/p/songesand-bed-frame-with-2-storage-boxes-white-luroey-s99241265/
Mandal Bed Frame With Headboard Birch White S89094948,beds,799.0,4.6,65,8,1100,0,https://www.ikea.com/us/en/p/mandal-bed-frame-with-headboard-birch-white-s89094948/
Neiden Bed Frame Pine Luroey S59248607,beds,79.0,4.1,853,6,2009,1,https://www.ikea.com/us/en/p/neiden-bed-frame-pine-luroey-s59248607/
Kleppstad Bed Frame White Vissle Beige,beds,199.0,4.5,310,6,2013,1,https://www.ikea.com/us/en/p/kleppstad-bed-frame-white-vissle-beige-00492682/
Hemnes Bed Frame White Stain Luroey S69007848,beds,479.0,3.1,762,7,2838,1,https://www.ikea.com/us/en/p/hemnes-bed-frame-white-stain-luroey-s69007848/
Brimnes Bed Frame With Storage White Luroey S09069764,beds,369.0,4.3,1851,8,2758,1,https://www.ikea.com/us/en/p/brimnes-bed-frame-with-storage-white-luroey-s09069764/
Malm Storage Bed White,beds,549.0,4.6,1329,4,2282,1,https://www.ikea.com/us/en/p/malm-storage-bed-white-70404818/
Slattum Upholstered Bed Frame Vissle Dark Gray Incl Slipcover For Headboard Oereryd Gray Beige S39613490,beds,163.99,5.0,1,15,942,0,https://www.ikea.com/us/en/p/slattum-upholstered-bed-frame-vissle-dark-gray-incl-slipcover-for-headboard-oereryd-gray-beige-s39613490/
